Unnamed: 0,CHK_ACCT,Duration,Credit History,Credit Amount,Balance in Savings A/C,Employment,Install_rate,Marital status,Present Resident,Age,Other installment,Num_Credits,Job,Credit classification,Credit Rating,kfold
51,1,27,3,0.3756204335399689,1,2,1,5,2,0.3402040022840905,1,2,0,1,0,1
52,2,12,4,0.3693177098629549,1,0,3,5,2,0.33771074028991616,0,1,1,1,0,1
53,2,18,4,0.37351592716305615,4,0,2,5,1,0.3406342426867164,0,1,1,1,0,1
54,1,36,3,0.3718303732470252,1,2,4,5,4,0.34775908412850337,1,2,1,0,1,1
55,2,6,1,0.3669681677991507,4,0,1,5,2,0.3382620256541887,1,1,5,1,0,1
56,1,12,4,0.3759039518272442,4,4,2,5,1,0.34678036896021164,0,1,0,0,1,1
57,2,36,2,0.3772231821243991,1,0,2,0,2,0.3406342426867164,1,2,1,1,0,1
58,3,18,4,0.37129430651451706,1,2,3,0,2,0.3365101139409041,0,1,0,1,0,1
59,0,36,2,0.37577256647477936,1,1,4,0,4,0.3365101139409041,1,2,5,0,1,1
60,1,9,4,0.3697690766938877,1,0,2,4,1,0.33878461744725724,1,1,1,1,0,1
61,1,15,2,0.3702229525136093,4,2,4,5,4,0.346352815412462,1,2,1,1,0,1
62,1,36,0,0.3712767410373645,1,2,4,5,4,0.3484628968282321,0,1,0,0,1,1
63,1,48,0,0.3785225382126473,1,0,2,5,2,0.33771074028991616,0,1,1,0,1,1
64,2,24,4,0.3732811352147162,1,1,4,0,4,0.3382620256541887,0,1,1,1,0,1
65,2,27,4,0.3751240366003069,4,2,4,5,4,0.3459016192610386,1,4,1,1,0,1
66,2,12,4,0.3717270922521368,1,1,2,0,2,0.3397535150166297,1,1,1,1,0,1
67,1,12,4,0.36823581998627297,3,0,4,4,1,0.3358536211828917,0,1,1,1,0,1
68,2,36,4,0.3709691109294486,1,0,4,5,4,0.34286699087144074,1,1,1,0,1,1
69,2,36,4,0.3721353241639553,4,0,4,0,4,0.33771074028991616,0,1,1,1,0,1
70,2,36,4,0.37668614284386615,1,0,1,0,2,0.3402040022840905,1,1,1,1,0,1
71,2,7,2,0.3666026702996122,4,2,4,5,2,0.34542435085076645,1,2,5,1,0,1
72,0,8,2,0.3689360100720445,1,2,3,5,4,0.3465694084595632,1,2,0,1,0,1
73,1,42,2,0.3756139251802307,1,3,2,0,1,0.34409758202147595,1,2,5,1,0,1
74,0,36,4,0.3713291829328308,4,2,4,5,4,0.3438057220293414,0,1,0,0,1,1
75,0,12,2,0.3701905888425924,1,2,4,5,4,0.3492607624997913,1,2,0,1,0,1
76,0,42,4,0.3741299299835467,1,1,4,5,3,0.34181819093076593,0,1,1,0,1,1
77,1,11,3,0.3748181150574287,1,3,2,5,4,0.3465694084595632,0,1,1,1,0,1
78,2,54,0,0.3771784315545248,4,0,2,5,2,0.3435037699753355,0,1,5,1,0,1
79,1,30,4,0.3740006216258088,1,1,2,4,1,0.3358536211828917,0,1,1,1,0,1
80,2,24,4,0.3756074027885527,4,1,1,0,1,0.3449182069595081,1,2,1,0,1,1
81,2,15,4,0.36913149976505977,6,2,4,5,3,0.3456664097071358,1,1,1,1,0,1
82,2,18,4,0.37031268824436825,5,0,3,0,4,0.33712787535535405,0,1,5,1,0,1
83,0,24,4,0.3708124933627725,1,2,4,0,4,0.3479410895948148,0,1,5,1,0,1
84,0,10,4,0.37199606331968704,1,2,3,5,4,0.34678036896021164,0,1,5,1,0,1
85,2,12,2,0.36983779112529297,1,0,4,0,2,0.3397535150166297,1,2,0,1,0,1
86,1,18,2,0.36943828503254783,1,1,4,0,1,0.33878461744725724,1,2,1,1,0,1
87,1,36,4,0.378107180729402,5,0,1,5,4,0.3456664097071358,0,1,1,0,1,1
88,0,18,4,0.3718753248504509,5,3,4,5,3,0.3402040022840905,0,1,0,1,0,1
89,0,12,0,0.3687000782979759,1,3,4,5,3,0.3392810405265025,1,2,1,0,1,1
90,2,12,2,0.3657111748632673,1,2,4,5,4,0.3475727597939736,0,1,1,1,0,1
91,0,12,2,0.3698280500814016,1,2,4,5,3,0.3471863981609548,0,1,1,1,0,1
92,2,12,2,0.36705970722897696,4,2,4,0,3,0.34144002131489304,1,1,5,0,1,1
93,3,24,2,0.3737800181494195,4,2,4,5,4,0.3344058248343126,1,2,1,1,0,1
94,1,12,4,0.3695201596843583,3,2,4,5,4,0.3471863981609548,0,1,1,1,0,1
95,1,54,0,0.37882841048551785,1,1,3,5,4,0.3479410895948148,0,1,1,0,1,1
96,2,12,2,0.3714043176020734,4,3,4,0,2,0.3484628968282321,0,1,1,1,0,1
97,1,18,4,0.3725085459822132,5,0,4,5,4,0.34181819093076593,0,1,1,1,0,1
98,1,36,2,0.37203540460896,1,2,4,5,4,0.34253071065961543,0,1,1,1,0,1
99,1,20,3,0.3762049857574113,4,3,3,5,4,0.34253071065961543,1,2,0,1,0,1
100,2,24,4,0.37001829092718985,5,2,4,4,4,0.34409758202147595,0,1,5,1,0,1
101,1,36,4,0.3720104203615933,1,3,4,5,4,0.33712787535535405,0,1,1,1,0,1
102,2,6,3,0.36785303770919503,1,0,3,0,2,0.33712787535535405,0,1,1,1,0,1
103,1,9,2,0.37120112020697066,1,3,4,5,3,0.3421814165124942,0,1,1,1,0,1
104,2,12,4,0.37222236399028025,4,1,2,4,4,0.3382620256541887,0,1,1,1,0,1
105,1,24,2,0.37793453078485706,1,0,2,5,3,0.3435037699753355,1,2,0,0,1,1
106,2,18,1,0.3758985685655774,1,2,2,5,4,0.3435037699753355,1,2,0,0,1,1
107,1,12,4,0.3756864928662705,1,3,2,5,2,0.34104578678506664,0,1,1,1,0,1
108,0,24,4,0.3765111548880655,4,1,1,0,2,0.3402040022840905,0,1,1,1,0,1
109,1,14,4,0.3698312998571879,6,2,1,4,2,0.3421814165124942,0,1,1,1,0,1
110,1,6,3,0.3699559283540391,5,2,1,1,2,0.3406342426867164,1,2,1,1,0,1
111,3,15,4,0.36309472962646855,1,1,4,0,4,0.3365101139409041,0,1,1,1,0,1
112,1,18,4,0.3757899365293312,1,3,3,5,3,0.3392810405265025,0,1,5,1,0,1
113,2,36,2,0.3765692342117584,1,0,4,0,2,0.33771074028991616,1,2,1,0,1,1
114,0,12,4,0.3706200467517313,6,2,3,4,1,0.3421814165124942,0,1,1,1,0,1
115,2,48,2,0.3737383500285886,4,2,4,5,1,0.3456664097071358,0,1,1,1,0,1
116,0,42,4,0.3762613047206109,4,3,4,0,3,0.3402040022840905,0,1,0,0,1,1
117,0,10,2,0.371650583866231,4,1,2,0,3,0.33878461744725724,1,2,1,1,0,1
118,0,33,2,0.3744177621531022,6,0,1,0,4,0.3365101139409041,1,2,1,0,1,1
119,1,12,2,0.3720865975974884,6,3,3,1,3,0.34253071065961543,0,1,0,1,0,1
120,0,21,4,0.3710072401407767,1,0,3,0,2,0.33771074028991616,1,2,1,0,1,1
121,2,24,2,0.374036136723752,1,2,4,0,2,0.34409758202147595,1,2,0,1,0,1
122,2,12,4,0.3708448521143947,1,0,3,5,2,0.33712787535535405,0,1,5,1,0,1
123,3,10,2,0.3669549282853217,1,2,4,5,4,0.34879213507952683,1,2,1,1,0,1
124,1,18,4,0.371212340553428,4,1,4,0,3,0.33878461744725724,0,1,1,0,1,1
125,0,12,2,0.3716287035111055,1,0,4,5,2,0.3402040022840905,1,2,1,1,0,1
126,0,12,4,0.3663887098804547,1,0,4,4,2,0.3438057220293414,0,1,5,1,0,1
127,1,12,4,0.3658926891173923,1,0,4,5,2,0.3402040022840905,0,1,1,0,1,1
128,1,12,2,0.3710660305000901,1,4,4,5,2,0.34181819093076593,1,2,0,1,0,1
129,0,12,2,0.3736522839300237,1,0,3,0,2,0.3397535150166297,1,2,1,0,1,1
130,1,48,4,0.3768284757573024,4,3,1,0,2,0.33712787535535405,0,1,1,1,0,1
131,0,36,3,0.37612119069911976,1,0,4,5,3,0.3397535150166297,1,1,1,0,1,1
132,2,15,4,0.37263945688354216,1,1,2,5,3,0.33878461744725724,1,2,5,1,0,1
133,2,18,4,0.3713443358780901,1,0,4,5,4,0.3456664097071358,1,2,1,1,0,1
134,2,60,4,0.37741397130673016,5,3,2,0,4,0.3351539346427997,0,1,1,1,0,1
135,2,12,2,0.369235200749392,4,2,4,0,2,0.3431910908111629,1,2,1,1,0,1
136,2,27,3,0.37687748368193297,3,0,2,5,2,0.33878461744725724,1,2,1,1,0,1
137,1,12,4,0.3668542984221723,6,0,4,5,3,0.3492607624997913,0,1,5,0,1,1
138,1,15,2,0.3726691972186073,4,3,4,5,2,0.3421814165124942,1,3,1,1,0,1
139,3,12,4,0.37111469125131785,1,0,2,0,2,0.3449182069595081,0,1,5,1,0,1
140,3,6,4,0.36644879701988975,3,1,2,4,2,0.33878461744725724,0,1,4,1,0,1
141,1,36,4,0.37483647347292,1,1,4,0,1,0.3402040022840905,0,1,0,1,0,1
142,0,27,4,0.3735593612990045,1,0,3,5,2,0.33878461744725724,0,1,0,1,0,1
143,0,18,4,0.37225090017267015,1,0,2,5,2,0.3358536211828917,0,1,1,0,1,1
144,2,21,2,0.3719471702174782,1,1,4,0,4,0.3365101139409041,0,1,1,1,0,1
145,1,48,1,0.3737254214922733,5,3,4,5,2,0.3402040022840905,0,1,1,1,0,1
146,0,6,2,0.3674487264041549,1,2,1,0,4,0.3435037699753355,1,2,1,1,0,1
147,2,12,2,0.366242585482016,5,3,4,0,3,0.3465694084595632,1,2,1,1,0,1
148,0,36,2,0.3752473794769163,1,0,3,5,2,0.3392810405265025,1,2,1,1,0,1
149,2,18,2,0.3703525210191144,3,2,4,5,4,0.34542435085076645,1,2,1,1,0,1
150,2,6,4,0.36961754736320335,5,2,2,5,4,0.3443799326500556,1,1,1,1,0,1
151,2,10,4,0.371212340553428,1,0,1,5,4,0.3431910908111629,0,1,1,1,0,1
152,3,36,4,0.3755504806836155,1,0,4,5,1,0.33712787535535405,0,1,1,1,0,1
153,1,24,2,0.3765273079540308,3,2,2,0,4,0.3397535150166297,0,1,1,1,0,1
154,1,24,3,0.3761609197515268,5,3,4,5,4,0.34253071065961543,0,1,0,1,0,1
155,0,12,4,0.36939123134951934,1,0,2,0,4,0.3344058248343126,0,1,1,0,1,1
156,0,9,2,0.3694130193405655,5,2,3,5,4,0.3459016192610386,1,2,1,1,0,1
157,0,12,1,0.3621986425025248,1,2,4,4,1,0.34517508014159337,1,1,5,1,0,1
158,1,24,4,0.3736666029608883,5,3,2,5,3,0.3431910908111629,1,2,1,1,0,1
159,2,6,2,0.37115361158111626,4,0,1,5,2,0.34181819093076593,1,2,5,1,0,1
160,2,24,2,0.3728759924534292,5,2,3,5,4,0.34253071065961543,0,1,1,1,0,1
161,2,18,2,0.3684631470387073,1,1,4,0,1,0.3402040022840905,1,2,1,1,0,1
162,2,15,4,0.3693177098629549,6,3,4,5,3,0.34253071065961543,1,2,1,1,0,1
163,1,10,4,0.3763245098897607,1,4,2,5,4,0.3498433696086649,1,1,0,1,0,1
164,2,36,4,0.3677281194075929,6,2,4,5,4,0.34253071065961543,0,1,1,1,0,1
165,2,6,4,0.3730205412517487,6,0,1,5,2,0.34104578678506664,0,1,1,1,0,1
166,0,18,4,0.36879868088119067,1,4,4,0,2,0.34144002131489304,0,1,1,0,1,1
167,1,11,4,0.3703383436006227,3,1,4,0,1,0.3344058248343126,0,1,1,1,0,1
168,2,24,4,0.3741365941158295,1,3,2,0,4,0.33771074028991616,0,1,1,1,0,1
169,1,24,2,0.3712369035482028,1,2,4,1,4,0.3406342426867164,1,2,1,0,1,1
170,0,15,0,0.3679482235278461,1,2,4,5,3,0.34144002131489304,1,2,1,0,1,1
171,2,12,4,0.36683388454294175,1,0,4,0,1,0.3382620256541887,0,1,1,1,0,1
172,1,24,3,0.3715131213767322,1,4,3,0,2,0.34181819093076593,0,1,0,0,1,1
173,1,8,4,0.3698442713777169,1,0,4,5,2,0.34144002131489304,0,1,1,1,0,1
174,0,21,3,0.3735570895019384,1,1,2,5,1,0.3382620256541887,1,2,1,0,1,1
175,2,30,1,0.3764059636292673,4,4,4,0,1,0.3469859524413701,1,1,0,0,1,1
176,0,12,4,0.3724380047993044,1,0,2,1,1,0.3443799326500556,0,1,1,1,0,1
177,0,6,2,0.3621800863092919,6,2,4,5,4,0.34678036896021164,1,2,1,1,0,1
178,2,12,4,0.37129868455702336,1,3,4,5,2,0.3406342426867164,1,2,0,1,0,1
179,0,21,2,0.3652760365287359,1,2,4,5,4,0.34910775274979705,1,2,1,1,0,1
180,2,36,3,0.3772252305232981,1,1,1,1,1,0.3392810405265025,1,2,1,0,1,1
181,1,36,3,0.3745658112038151,1,0,2,1,2,0.3402040022840905,1,2,0,0,1,1
182,0,21,1,0.37053209191400055,4,0,4,5,2,0.3438057220293414,1,2,5,0,1,1
183,2,24,2,0.37394559859244586,3,0,4,5,4,0.346352815412462,0,1,1,1,0,1
184,1,18,2,0.3675879185682449,1,2,4,5,4,0.34253071065961543,1,1,1,0,1,1
185,2,15,2,0.36966533352976416,1,0,4,5,2,0.3406342426867164,1,2,1,1,0,1
186,1,9,1,0.3750813315147938,1,2,2,0,4,0.3503834811372257,1,1,0,0,1,1
187,1,16,2,0.3689807474114217,1,4,2,5,3,0.3495577466134833,1,3,4,1,0,1
188,0,12,4,0.36617956487373454,5,3,4,4,1,0.3344058248343126,0,1,1,0,1,1
189,1,18,0,0.3733580430254208,1,0,1,0,4,0.34144002131489304,1,2,1,1,0,1
190,2,24,4,0.3746768872772852,3,0,2,5,3,0.3471863981609548,1,3,0,0,1,1
191,1,48,0,0.3740125033853233,5,3,4,5,4,0.34181819093076593,0,1,5,0,1,1
192,1,27,4,0.3740819237046619,1,0,4,5,2,0.34253071065961543,0,1,1,0,1,1
193,2,6,4,0.3716026703755301,1,3,2,4,2,0.3397535150166297,0,1,1,1,0,1
194,1,45,4,0.3730905559225468,5,0,4,5,4,0.3351539346427997,0,1,1,0,1,1
195,1,9,2,0.3701159848468231,1,2,2,0,3,0.34181819093076593,1,2,0,0,1,1
196,2,6,2,0.3697392457022481,1,0,1,0,1,0.3392810405265025,1,2,1,1,0,1
197,1,12,4,0.3679534474933055,5,1,4,0,4,0.33878461744725724,1,4,1,0,1,1
198,1,24,4,0.3727162495289634,4,2,4,5,4,0.34253071065961543,1,1,1,1,0,1
199,1,18,3,0.3744316679112285,1,2,4,1,3,0.3438057220293414,0,1,0,0,1,1
200,2,9,2,0.36787438139848977,6,2,4,5,2,0.34678036896021164,1,2,1,1,0,1
201,0,12,4,0.3689523368889624,1,0,4,4,3,0.33878461744725724,0,1,5,1,0,1
202,2,27,3,0.3750728606449985,1,3,3,5,4,0.3382620256541887,1,2,1,1,0,1
203,0,12,4,0.3676893387776224,1,3,4,4,4,0.3351539346427997,0,1,1,0,1,1
204,2,12,2,0.37009785835070175,1,2,4,5,1,0.3431910908111629,1,2,5,1,0,1
205,0,30,2,0.377562796552232,1,2,3,5,4,0.3431910908111629,1,3,0,1,0,1
206,2,12,2,0.3712369035482028,1,2,4,5,4,0.34465330972735314,1,3,1,1,0,1
207,1,12,2,0.36987650860976895,1,3,4,5,3,0.3382620256541887,0,1,1,1,0,1
208,0,24,4,0.3759572573556107,1,0,2,4,2,0.3351539346427997,1,1,5,1,0,1
209,2,12,4,0.3698410326262995,3,3,3,5,2,0.3473819304280704,0,1,1,1,0,1
210,2,9,2,0.3731463070792127,4,0,1,5,2,0.34144002131489304,1,2,1,1,0,1
211,2,36,4,0.374003596159404,4,2,2,0,4,0.34517508014159337,0,1,5,1,0,1
212,0,27,0,0.3751948307163362,1,4,2,5,4,0.346352815412462,1,2,1,0,1,1
213,3,30,3,0.3711763124089845,1,2,4,5,4,0.3492607624997913,0,1,0,0,1,1
214,2,36,2,0.3734742449981451,4,2,4,5,2,0.3465694084595632,0,1,1,1,0,1
215,1,6,2,0.36785303770919503,4,3,1,0,3,0.3435037699753355,1,2,5,1,0,1
216,0,18,0,0.3731846611979643,1,3,3,5,1,0.3406342426867164,1,1,1,1,0,1
217,3,36,4,0.3740799884996997,1,0,2,5,2,0.3365101139409041,0,1,1,1,0,1
218,0,24,4,0.3730774567259604,1,0,2,1,2,0.33712787535535405,0,1,5,1,0,1
219,2,10,4,0.369678878363798,1,0,2,0,4,0.3489515831180964,0,1,1,1,0,1
220,1,12,4,0.3657725077873227,1,1,4,4,1,0.3382620256541887,1,1,5,1,0,1
221,0,12,4,0.3690805741578244,4,0,4,0,4,0.3365101139409041,1,1,1,1,0,1
222,2,12,4,0.3664338530523184,1,0,4,5,2,0.3402040022840905,1,2,1,1,0,1
223,2,24,3,0.3730205412517487,4,0,4,5,4,0.34104578678506664,1,2,1,1,0,1
224,2,15,4,0.3747294117147473,1,0,3,5,2,0.3402040022840905,0,1,1,1,0,1
225,2,36,0,0.3724945529294221,1,0,4,5,2,0.33878461744725724,1,2,1,1,0,1
226,1,48,4,0.3776632228314283,3,3,1,5,2,0.33878461744725724,1,2,1,0,1,1
227,0,12,4,0.3765735223133964,1,2,4,5,4,0.3469859524413701,0,1,0,0,1,1
228,2,9,4,0.3700460230912943,1,3,4,5,2,0.3358536211828917,0,1,1,0,1,1
229,0,24,4,0.3732413801040872,1,1,4,5,1,0.3358536211828917,1,1,1,1,0,1
230,3,36,4,0.3743553116148737,1,0,4,5,2,0.3382620256541887,0,1,1,0,1,1
231,2,9,4,0.37232532403937535,6,2,2,5,4,0.3465694084595632,0,1,5,1,0,1
232,2,12,4,0.37166838642739175,5,3,3,5,1,0.3421814165124942,0,1,1,1,0,1
233,1,18,4,0.36748396242258347,1,0,4,4,2,0.33771074028991616,0,1,5,1,0,1
234,2,4,2,0.3702434035873589,1,3,2,5,1,0.3443799326500556,1,3,5,1,0,1
235,0,24,4,0.3709786806158165,1,4,4,5,2,0.3402040022840905,1,1,0,0,1,1
236,1,6,4,0.3785508914254913,4,4,1,5,2,0.3365101139409041,0,1,4,0,1,1
237,1,21,4,0.3727264562736837,5,2,4,1,2,0.3484628968282321,1,2,5,0,1,1
238,2,12,2,0.3694238676485028,1,0,4,0,2,0.3421814165124942,1,2,1,1,0,1
239,0,30,4,0.37234978102405053,1,2,1,5,3,0.3435037699753355,0,1,1,1,0,1
240,0,24,4,0.3677610729911159,4,2,4,0,2,0.3397535150166297,1,1,1,0,1,1
241,2,6,4,0.3703891328993902,1,3,3,5,2,0.3465694084595632,0,1,1,1,0,1
242,0,48,0,0.3746881023931372,1,2,3,5,4,0.33712787535535405,1,2,1,0,1,1
243,2,12,2,0.3690209822213654,1,0,3,0,2,0.33878461744725724,1,2,1,1,0,1
244,2,12,1,0.3735943752181444,6,0,4,0,3,0.3421814165124942,0,1,5,1,0,1
245,2,24,4,0.3693028374487475,1,3,4,5,1,0.33771074028991616,0,1,1,1,0,1
246,2,12,2,0.36650806280377213,1,2,4,5,4,0.34678036896021164,1,3,1,1,0,1
247,2,6,0,0.3690963140213639,5,0,4,5,1,0.3421814165124942,1,1,1,1,0,1
248,3,24,4,0.3712145804556565,1,0,2,5,2,0.3382620256541887,0,1,1,1,0,1
249,2,18,4,0.3636904987160632,1,4,3,0,4,0.3358536211828917,0,1,1,0,1,1
250,0,6,2,0.3661156239193666,3,3,3,0,4,0.3435037699753355,1,2,5,1,0,1
251,3,12,4,0.37187904509229,1,0,1,0,2,0.34542435085076645,0,1,5,1,0,1
252,1,30,4,0.3716861002871619,1,0,4,0,2,0.33712787535535405,1,1,1,0,1,1
253,2,24,3,0.3743024690064144,5,0,2,5,3,0.3421814165124942,1,2,1,1,0,1
254,1,9,4,0.3714423552306021,4,3,2,5,1,0.33712787535535405,0,1,1,1,0,1
255,1,60,3,0.37637539661994907,4,0,1,5,1,0.33878461744725724,0,1,5,1,0,1
256,2,24,2,0.3726034237268541,1,0,4,5,2,0.3421814165124942,1,2,5,1,0,1
257,0,12,1,0.37168413643530185,1,0,4,1,1,0.3397535150166297,0,1,1,0,1,1
258,2,15,4,0.3739807212295893,5,1,1,0,4,0.3365101139409041,0,1,1,1,0,1
259,2,11,2,0.3688948956052195,5,4,4,0,4,0.34775908412850337,1,3,5,1,0,1
260,0,12,4,0.3705589656644154,1,0,2,5,2,0.33878461744725724,0,1,1,1,0,1
261,0,24,4,0.370411486377505,1,2,4,0,4,0.3473819304280704,0,1,1,1,0,1
262,0,18,2,0.3752009400428923,1,2,2,5,4,0.34253071065961543,1,3,0,1,0,1
263,2,12,2,0.3726986808547603,1,2,2,0,4,0.34775908412850337,1,3,5,1,0,1
264,2,10,2,0.3692009380827001,1,2,3,5,4,0.34104578678506664,1,2,5,1,0,1
265,1,15,4,0.36709192707486027,1,2,4,5,3,0.34286699087144074,0,1,1,0,1,1
266,2,36,2,0.3758144195313313,4,2,4,5,4,0.34253071065961543,1,2,1,1,0,1
267,2,24,4,0.3702112160734529,1,1,4,0,3,0.3431910908111629,1,1,1,1,0,1
268,0,14,4,0.3770148916947004,1,2,1,1,4,0.34517508014159337,0,1,0,0,1,1
269,2,24,4,0.3681966595074664,4,2,4,5,2,0.33771074028991616,1,2,1,1,0,1
270,2,18,4,0.37257005694939704,4,3,4,5,3,0.34104578678506664,0,1,1,1,0,1
271,2,12,2,0.3698052239305629,6,3,3,0,4,0.34286699087144074,0,1,1,1,0,1
272,1,48,1,0.37799494171013903,4,4,4,5,4,0.34253071065961543,0,1,0,1,0,1
273,1,48,4,0.3731282570855273,1,3,4,5,4,0.3392810405265025,1,2,1,0,1,1
274,0,30,4,0.3779503506913441,1,1,1,1,1,0.34181819093076593,0,1,5,0,1,1
275,2,9,4,0.3726229887659196,1,0,1,5,2,0.34104578678506664,0,1,1,1,0,1
276,2,18,2,0.3721525630017633,1,0,2,0,2,0.3382620256541887,1,2,1,1,0,1
277,0,12,4,0.3693177098629549,4,2,2,1,4,0.3461303165564136,0,1,5,1,0,1
278,2,6,4,0.3746928966564537,1,1,1,0,4,0.34104578678506664,0,1,1,0,1,1
279,2,24,4,0.3711604367613749,5,0,4,5,4,0.3397535150166297,0,1,0,1,0,1
280,2,15,2,0.3735044014480618,3,2,3,5,4,0.3365101139409041,1,2,1,1,0,1
281,2,12,4,0.3703298113172096,1,0,4,5,2,0.346352815412462,0,1,1,1,0,1
282,3,18,1,0.3699433320418711,4,3,4,5,4,0.3461303165564136,1,1,5,1,0,1
283,2,15,2,0.3701728180092678,4,2,4,5,4,0.34879213507952683,0,1,1,1,0,1
284,1,24,2,0.3740459331645158,5,1,4,1,2,0.34286699087144074,0,1,1,1,0,1
285,0,47,4,0.3775925892765439,1,1,1,0,1,0.3421814165124942,0,1,5,1,0,1
286,0,48,4,0.3748311300609636,1,3,4,5,3,0.3382620256541887,0,1,1,1,0,1
